id,titulaire,emetteur,cyberharcelementType,plateforme,accompagnement,date,genre,age,typeAccompagnement,langue,anonymat
1036,Non,public,Propos de haine,Tiktok,Non,2025-02-27,Féminin,Âges de 18 à 25 ans,Suppression,ar,Oui
1037,Oui,public,Autres,WhatsApp,Non,2025-03-02,Féminin,Âges de 18 à 25 ans,Suppression,fr,Oui
1038,Oui,public,Publication de photos intimes ou personnelles,Instagram,Oui,2025-03-03,Masculin,Plus de 26 ans,Juridique;Suppression,fr,Non
1039,Oui,public,Autres,Tiktok,Non,2025-03-04,Féminin,Plus de 26 ans,Suppression,fr,Oui
1040,Oui,public,Diffamation,Tiktok,Non,2025-03-05,Féminin,Plus de 26 ans,Suppression,fr,Oui
1041,Non,public,Propos raciste ou discriminatoire,Tiktok,Non,2025-03-06,Masculin,Plus de 26 ans,Suppression,fr,Oui
1042,Oui,public,Publication de photos intimes ou personnelles,WhatsApp,Non,2025-03-07,Féminin,Plus de 26 ans,Suppression,fr,Oui
1351,Oui,public,Publication de photos intimes ou personnelles,WhatsApp,Non,2025-11-16,Masculin,Âges de 18 à 25 ans,Suppression,fr,Oui
1352,Non,public,Diffamation,Tiktok,Non,2025-11-17,Masculin,Âges de 18 à 25 ans,Suppression,ar,Oui
1353,Non,public,Publication de photos intimes ou personnelles,Tiktok,Non,2025-11-18,Masculin,Âges de 18 à 25 ans,Suppression,ar,Oui
1354,Oui,public,Diffamation,Tiktok,Non,2025-11-19,Masculin,Âges de 18 à 25 ans,Suppression,fr,Oui
1355,Oui,public,Propos de haine,Facebook,Oui,2025-11-20,Féminin,Âges de 18 à 25 ans,Juridique;Suppression,fr,Non
